,feature,importance
0,sentiment_compound,0.0
1,Blockchain_News_proba,0.0
2,Cryptocurrency_proba,0.0
3,Market_News_proba,0.0
4,topic_activity_hour,10.068599700927734
5,sentiment_topic_count_hour,0.0
6,topic_activity_day,0.0
7,sentiment_topic_count_day,0.0
8,Negative_this_Day,55.1914005279541
9,Neutral_this_Day,261.6476707458496
10,Positive_this_Day,221.8388500213623
11,Negative_this_Month,24.030380249023438
12,Neutral_this_Month,80.21010112762451
13,Positive_this_Month,0.0
14,pos_neg_ratio_day,466.4867687225342
15,pos_neg_ratio_month,15.504509449005127
16,Negative_this_hours,193.73359870910645
17,Neutral_this_hours,50.54059982299805
18,Positive_this_hours,305.74080753326416
19,pos_neg_ratio_hour,38.38890981674194
20,Open,294.1661796569824
21,High,21.515230178833008
22,Low,679.4006986618042
23,Close,494.0843982696533
24,Volume,24.180500030517578
25,daily_variance,62.1269006729126
26,daily_difference,0.0
27,Trading_Volume,31.66281032562256
28,price_1month,51.422550201416016
29,price_2weeks_ago,251.59329891204834
30,price_1week_ago,452.03440284729004
31,price_2days_ago,316.1289792060852
32,price_1day_ago,171.06203889846802
33,price_1hour_ago,0.0
34,SVI,176.97022914886475
35,svi_mean_last_month,86.97405052185059
36,svi_mean_last_2days,89.56681156158447
37,svi_mean_last_week,31.202500343322754
38,svi_mean_last_2weeks,23.827200889587402
39,Topic_Cryptocurrency,0.0
40,Topic_Market,0.0
41,sentiment_Neutral,0.0
42,sentiment_Positive,0.0
