,Day,SVI,Close
0,2016-01-01,2.6379310344827585,434.55
1,2016-01-02,2.4827586206896552,435.75
2,2016-01-03,3.625,424.26
3,2016-01-04,4.0,434.37
4,2016-01-05,3.5625,433.99
5,2016-01-06,3.6875,430.89
6,2016-01-07,4.6875,460.0
7,2016-01-08,4.4375,453.13
8,2016-01-09,3.8125,450.11
9,2016-01-10,3.0,444.6
10,2016-01-11,2.25,449.0
11,2016-01-12,2.4166666666666665,432.0
12,2016-01-13,2.583333333333333,432.29
13,2016-01-14,2.208333333333333,431.31
14,2016-01-15,3.9166666666666665,360.96
15,2016-01-16,3.708333333333333,387.43
16,2016-01-17,3.0,380.01
17,2016-01-18,2.92,384.28
18,2016-01-19,2.7600000000000002,379.5
19,2016-01-20,2.84,425.38
20,2016-01-21,2.6,410.18
21,2016-01-22,2.48,410.0
22,2016-01-23,2.08,384.87
23,2016-01-24,2.0,402.64
24,2016-01-25,2.1153846153846154,391.06
25,2016-01-26,2.230769230769231,393.05
26,2016-01-27,2.1923076923076925,395.5
27,2016-01-28,2.076923076923077,379.67
28,2016-01-29,2.153846153846154,379.12
29,2016-01-30,1.8846153846153848,378.33
30,2016-01-31,2.0,367.01
31,2016-02-01,2.0869565217391304,372.08
32,2016-02-02,2.1739130434782608,373.15
33,2016-02-03,2.3478260869565215,369.69
34,2016-02-04,2.3478260869565215,387.25
35,2016-02-05,2.1739130434782608,385.67
36,2016-02-06,2.0,376.08
37,2016-02-07,2.0,376.03
38,2016-02-08,2.25,371.65
39,2016-02-09,2.8000000000000003,373.06
40,2016-02-10,2.6,380.5
41,2016-02-11,2.7,376.03
42,2016-02-12,3.1500000000000004,384.4
43,2016-02-13,2.8000000000000003,386.52
44,2016-02-14,3.0,406.02
45,2016-02-15,3.28125,399.2
46,2016-02-16,3.046875,406.72
47,2016-02-17,3.28125,416.66
48,2016-02-18,4.6875,422.21
49,2016-02-19,3.421875,419.58
50,2016-02-20,3.140625,438.65
51,2016-02-21,3.0,440.0
52,2016-02-22,3.4285714285714284,436.4
53,2016-02-23,3.314285714285714,418.77
54,2016-02-24,3.314285714285714,422.99
55,2016-02-25,2.2857142857142856,423.59
56,2016-02-26,2.0,429.98
57,2016-02-27,2.2857142857142856,431.47
58,2016-02-28,2.0,431.46
59,2016-02-29,1.9411764705882353,438.04
60,2016-03-01,2.4705882352941178,433.23
61,2016-03-02,2.1176470588235294,421.09
62,2016-03-03,2.5294117647058822,419.21
63,2016-03-04,2.411764705882353,408.0
64,2016-03-05,2.0588235294117645,393.93
65,2016-03-06,2.0,401.5
66,2016-03-07,2.642857142857143,412.04
67,2016-03-08,2.4285714285714284,412.09
68,2016-03-09,2.4285714285714284,411.0
69,2016-03-10,2.571428571428571,414.71
70,2016-03-11,2.214285714285714,418.94
71,2016-03-12,2.357142857142857,409.58
72,2016-03-13,2.0,411.18
73,2016-03-14,2.466666666666667,414.03
74,2016-03-15,2.4,416.0
75,2016-03-16,2.0666666666666664,416.0
76,2016-03-17,2.2666666666666666,418.95
77,2016-03-18,2.1333333333333333,407.64
78,2016-03-19,2.0666666666666664,409.9
79,2016-03-20,2.0,410.99
80,2016-03-21,2.2,411.4
81,2016-03-22,2.0,416.83
82,2016-03-23,2.2666666666666666,417.01
83,2016-03-24,2.2,415.55
84,2016-03-25,2.0,416.33
85,2016-03-26,1.9333333333333333,416.92
86,2016-03-27,2.0,424.4
87,2016-03-28,2.642857142857143,422.15
88,2016-03-29,2.571428571428571,414.38
89,2016-03-30,2.2857142857142856,413.71
90,2016-03-31,2.357142857142857,416.36
91,2016-04-01,2.142857142857143,416.49
92,2016-04-02,2.071428571428571,420.0
93,2016-04-03,2.0,419.44
94,2016-04-04,1.8235294117647058,419.99
95,2016-04-05,1.9411764705882353,422.48
96,2016-04-06,2.0,422.4
97,2016-04-07,1.8235294117647058,422.54
98,2016-04-08,1.9411764705882353,417.87
99,2016-04-09,1.7647058823529411,416.99
100,2016-04-10,2.0,420.73
101,2016-04-11,2.5517241379310343,423.23
102,2016-04-12,2.413793103448276,426.43
103,2016-04-13,2.0,424.53
104,2016-04-14,2.1379310344827585,424.97
105,2016-04-15,2.0689655172413794,429.53
106,2016-04-16,2.0689655172413794,429.99
107,2016-04-17,2.0,426.21
108,2016-04-18,1.526315789473684,427.98
109,2016-04-19,1.6842105263157894,434.99
110,2016-04-20,1.894736842105263,443.54
111,2016-04-21,2.1052631578947367,451.0
112,2016-04-22,1.894736842105263,447.79
113,2016-04-23,1.894736842105263,451.99
114,2016-04-24,2.0,461.98
115,2016-04-25,3.2,463.49
116,2016-04-26,3.7,468.45
117,2016-04-27,4.0,444.14
118,2016-04-28,4.1000000000000005,448.99
119,2016-04-29,3.2,456.78
120,2016-04-30,3.4000000000000004,450.3
121,2016-05-01,3.0,453.28
122,2016-05-02,5.405405405405405,445.96
123,2016-05-03,3.2432432432432434,451.99
124,2016-05-04,2.3243243243243246,448.0
125,2016-05-05,2.756756756756757,448.99
126,2016-05-06,2.1081081081081083,461.36
127,2016-05-07,2.1081081081081083,459.64
128,2016-05-08,2.0,458.0
129,2016-05-09,2.484848484848485,460.98
130,2016-05-10,2.5454545454545454,451.75
131,2016-05-11,2.0606060606060606,452.48
132,2016-05-12,2.2424242424242427,453.99
133,2016-05-13,2.303030303030303,457.46
134,2016-05-14,1.9393939393939394,456.74
135,2016-05-15,2.0,457.99
136,2016-05-16,1.935483870967742,454.43
137,2016-05-17,2.129032258064516,454.69
138,2016-05-18,2.193548387096774,454.27
139,2016-05-19,2.6451612903225805,440.01
140,2016-05-20,2.129032258064516,442.99
141,2016-05-21,1.935483870967742,443.21
142,2016-05-22,2.0,437.57
143,2016-05-23,2.466666666666667,443.99
144,2016-05-24,1.9333333333333333,445.73
145,2016-05-25,1.8,449.98
146,2016-05-26,2.0666666666666664,454.29
147,2016-05-27,2.2666666666666666,476.99
148,2016-05-28,2.6,526.6
149,2016-05-29,3.0,516.63
150,2016-05-30,3.292682926829268,530.61
151,2016-05-31,3.4390243902439024,530.94
152,2016-06-01,2.926829268292683,538.8
153,2016-06-02,2.6341463414634143,539.9
154,2016-06-03,3.146341463414634,571.12
155,2016-06-04,2.926829268292683,573.51
156,2016-06-05,3.0,574.05
157,2016-06-06,4.035087719298246,585.95
158,2016-06-07,3.7719298245614032,580.0
159,2016-06-08,3.070175438596491,581.99
160,2016-06-09,3.070175438596491,579.05
161,2016-06-10,3.333333333333333,579.99
162,2016-06-11,3.1578947368421053,614.22
163,2016-06-12,5.0,670.61
164,2016-06-13,6.759259259259259,704.01
165,2016-06-14,5.37037037037037,684.9
166,2016-06-15,4.907407407407407,695.19
167,2016-06-16,6.296296296296296,764.22
168,2016-06-17,5.833333333333333,755.47
169,2016-06-18,5.0,760.69
170,2016-06-19,5.0,763.99
171,2016-06-20,3.1956521739130435,735.0
172,2016-06-21,4.043478260869565,666.58
173,2016-06-22,3.260869565217391,609.09
174,2016-06-23,4.043478260869565,625.13
175,2016-06-24,6.521739130434782,665.0
176,2016-06-25,3.8478260869565215,665.15
177,2016-06-26,3.0,631.32
178,2016-06-27,3.558139534883721,650.1
179,2016-06-28,3.0697674418604652,648.68
180,2016-06-29,3.13953488372093,641.99
181,2016-06-30,3.4186046511627906,674.69
182,2016-07-01,2.9302325581395348,678.59
183,2016-07-02,2.8604651162790695,699.99
184,2016-07-03,3.0,658.68
185,2016-07-04,2.2978723404255317,679.89
186,2016-07-05,2.6170212765957444,666.68
187,2016-07-06,2.4893617021276593,674.99
188,2016-07-07,2.7446808510638294,637.99
189,2016-07-08,2.8723404255319145,661.99
190,2016-07-09,3.5106382978723403,653.19
191,2016-07-10,2.9999999999999996,649.99
192,2016-07-11,2.484848484848485,650.82
193,2016-07-12,2.121212121212121,668.96
194,2016-07-13,2.1818181818181817,653.2
195,2016-07-14,2.0606060606060606,658.98
196,2016-07-15,2.121212121212121,665.29
197,2016-07-16,2.0606060606060606,663.93
198,2016-07-17,2.0,680.41
199,2016-07-18,2.909090909090909,673.48
200,2016-07-19,3.090909090909091,672.99
201,2016-07-20,3.4545454545454546,664.54
202,2016-07-21,2.8181818181818183,665.99
203,2016-07-22,2.7272727272727275,650.31
204,2016-07-23,2.8181818181818183,656.26
205,2016-07-24,2.0,663.97
206,2016-07-25,2.896551724137931,656.26
207,2016-07-26,3.6206896551724137,651.76
208,2016-07-27,3.6206896551724137,657.62
209,2016-07-28,3.310344827586207,657.37
210,2016-07-29,3.103448275862069,657.99
211,2016-07-30,3.103448275862069,655.01
212,2016-07-31,3.0,623.51
213,2016-08-01,1.8333333333333333,606.57
214,2016-08-02,2.5555555555555554,532.28
215,2016-08-03,4.833333333333333,574.0
216,2016-08-04,2.611111111111111,585.0
217,2016-08-05,2.1666666666666665,575.4
218,2016-08-06,1.8888888888888888,588.99
219,2016-08-07,2.0,594.4
220,2016-08-08,2.642857142857143,595.08
221,2016-08-09,2.5,586.65
222,2016-08-10,2.214285714285714,595.26
223,2016-08-11,2.0,588.0
224,2016-08-12,1.7857142857142856,588.83
225,2016-08-13,1.9285714285714284,586.98
