,Day,Topic,tweet-id
0,2016-02-26,Blockchain News,81
3,2016-02-27,Blockchain News,1310
6,2016-02-28,Blockchain News,1421
9,2016-04-27,Blockchain News,151
12,2016-06-25,Blockchain News,86
15,2016-08-23,Blockchain News,185
18,2016-10-21,Blockchain News,98
21,2016-12-17,Blockchain News,812
24,2016-12-18,Blockchain News,1399
27,2016-12-19,Blockchain News,2159
30,2017-02-16,Blockchain News,1814
33,2017-02-17,Blockchain News,1875
36,2017-04-17,Blockchain News,173
39,2017-06-14,Blockchain News,339
42,2017-06-15,Blockchain News,3997
45,2017-08-13,Blockchain News,2839
48,2017-10-07,Blockchain News,426
51,2017-10-08,Blockchain News,3735
54,2017-10-09,Blockchain News,5037
57,2017-10-10,Blockchain News,5391
60,2017-10-11,Blockchain News,5691
63,2017-12-08,Blockchain News,9541
66,2017-12-09,Blockchain News,9973
69,2018-02-05,Blockchain News,1147
72,2018-02-06,Blockchain News,15654
75,2018-04-03,Blockchain News,1916
78,2018-04-04,Blockchain News,8372
81,2018-04-05,Blockchain News,8904
84,2018-04-06,Blockchain News,8574
87,2018-04-07,Blockchain News,7152
90,2018-06-02,Blockchain News,4119
93,2018-06-03,Blockchain News,6138
96,2018-06-04,Blockchain News,8113
99,2018-06-05,Blockchain News,8339
102,2018-07-31,Blockchain News,4757
105,2018-08-01,Blockchain News,6377
108,2018-08-02,Blockchain News,6128
111,2018-08-03,Blockchain News,6666
114,2018-10-01,Blockchain News,1394
117,2018-11-28,Blockchain News,2342
120,2018-11-29,Blockchain News,5359
123,2019-01-16,Blockchain News,2766
126,2019-01-17,Blockchain News,4571
129,2019-01-18,Blockchain News,4444
132,2019-01-19,Blockchain News,3832
135,2019-01-20,Blockchain News,3819
138,2019-01-21,Blockchain News,4664
141,2019-01-22,Blockchain News,4843
144,2019-01-23,Blockchain News,4832
147,2019-01-24,Blockchain News,4899
150,2019-01-25,Blockchain News,4332
153,2019-01-26,Blockchain News,4314
156,2019-01-27,Blockchain News,3813
159,2019-03-28,Blockchain News,292
