,Day,Topic,tweet-id
1,2016-02-26,Cryptocurrency,5
4,2016-02-27,Cryptocurrency,96
7,2016-02-28,Cryptocurrency,119
10,2016-04-27,Cryptocurrency,13
13,2016-06-25,Cryptocurrency,9
16,2016-08-23,Cryptocurrency,29
19,2016-10-21,Cryptocurrency,8
22,2016-12-17,Cryptocurrency,56
25,2016-12-18,Cryptocurrency,89
28,2016-12-19,Cryptocurrency,136
31,2017-02-16,Cryptocurrency,166
34,2017-02-17,Cryptocurrency,136
37,2017-04-17,Cryptocurrency,18
40,2017-06-14,Cryptocurrency,112
43,2017-06-15,Cryptocurrency,915
46,2017-08-13,Cryptocurrency,874
49,2017-10-07,Cryptocurrency,168
52,2017-10-08,Cryptocurrency,1210
55,2017-10-09,Cryptocurrency,1572
58,2017-10-10,Cryptocurrency,1390
61,2017-10-11,Cryptocurrency,1258
64,2017-12-08,Cryptocurrency,3195
67,2017-12-09,Cryptocurrency,3848
70,2018-02-05,Cryptocurrency,465
73,2018-02-06,Cryptocurrency,6314
76,2018-04-03,Cryptocurrency,824
79,2018-04-04,Cryptocurrency,3208
82,2018-04-05,Cryptocurrency,3528
85,2018-04-06,Cryptocurrency,3211
88,2018-04-07,Cryptocurrency,2660
91,2018-06-02,Cryptocurrency,2069
94,2018-06-03,Cryptocurrency,2959
97,2018-06-04,Cryptocurrency,3102
100,2018-06-05,Cryptocurrency,3111
103,2018-07-31,Cryptocurrency,2624
106,2018-08-01,Cryptocurrency,4999
109,2018-08-02,Cryptocurrency,3735
112,2018-08-03,Cryptocurrency,4481
115,2018-10-01,Cryptocurrency,760
118,2018-11-28,Cryptocurrency,1293
121,2018-11-29,Cryptocurrency,3051
124,2019-01-16,Cryptocurrency,1445
127,2019-01-17,Cryptocurrency,2252
130,2019-01-18,Cryptocurrency,1995
133,2019-01-19,Cryptocurrency,1814
136,2019-01-20,Cryptocurrency,1623
139,2019-01-21,Cryptocurrency,1731
142,2019-01-22,Cryptocurrency,2043
145,2019-01-23,Cryptocurrency,1940
148,2019-01-24,Cryptocurrency,2065
151,2019-01-25,Cryptocurrency,1927
154,2019-01-26,Cryptocurrency,1864
157,2019-01-27,Cryptocurrency,1878
160,2019-03-28,Cryptocurrency,202
