,Day,Topic,tweet-id
2,2016-02-26,Market,520
5,2016-02-27,Market,6165
8,2016-02-28,Market,6757
11,2016-04-27,Market,484
14,2016-06-25,Market,397
17,2016-08-23,Market,558
20,2016-10-21,Market,433
23,2016-12-17,Market,2449
26,2016-12-18,Market,4823
29,2016-12-19,Market,7791
32,2017-02-16,Market,5645
35,2017-02-17,Market,6445
38,2017-04-17,Market,561
41,2017-06-14,Market,1064
44,2017-06-15,Market,11545
47,2017-08-13,Market,10927
50,2017-10-07,Market,1233
53,2017-10-08,Market,10409
56,2017-10-09,Market,15723
59,2017-10-10,Market,15425
62,2017-10-11,Market,14542
65,2017-12-08,Market,44090
68,2017-12-09,Market,41843
71,2018-02-05,Market,3775
74,2018-02-06,Market,44605
77,2018-04-03,Market,4000
80,2018-04-04,Market,17901
83,2018-04-05,Market,18678
86,2018-04-06,Market,18369
89,2018-04-07,Market,16060
92,2018-06-02,Market,8850
95,2018-06-03,Market,12412
98,2018-06-04,Market,13653
101,2018-06-05,Market,15888
104,2018-07-31,Market,10620
107,2018-08-01,Market,14009
110,2018-08-02,Market,13830
113,2018-08-03,Market,16807
116,2018-10-01,Market,3362
119,2018-11-28,Market,8401
122,2018-11-29,Market,15973
125,2019-01-16,Market,6406
128,2019-01-17,Market,10678
131,2019-01-18,Market,11422
134,2019-01-19,Market,9577
137,2019-01-20,Market,8965
140,2019-01-21,Market,10405
143,2019-01-22,Market,11472
146,2019-01-23,Market,12229
149,2019-01-24,Market,11532
152,2019-01-25,Market,10626
155,2019-01-26,Market,9546
158,2019-01-27,Market,8690
161,2019-03-28,Market,1088
