,Blockchain News,Cryptocurrency,Market,Day,Close,pos_neg_ratio_month
0,81,5,520,2016-06-25,665.15,3.5
1,1310,96,6165,2016-10-21,630.8,2.2111111111111112
2,1421,119,6757,2017-04-17,1193.81,2.4959349593495936
3,151,13,484,2016-08-23,581.99,2.4761904761904763
4,86,9,397,2016-04-27,444.14,4.701492537313433
5,185,29,558,2019-03-28,4012.81,2.753623188405797
6,98,8,433,2018-10-01,6573.94,2.6758130081300813
7,812,56,2449,2017-08-13,4046.34,2.305511811023622
8,1399,89,4823,2017-06-15,2416.16,1.7165705296276874
9,2159,136,7791,2017-06-14,2459.56,1.7165705296276874
10,1814,166,5645,2017-02-17,1059.75,2.674030846185911
11,1875,136,6445,2017-02-16,1034.33,2.674030846185911
12,173,18,561,2016-12-19,790.19,2.4077640686126993
13,339,112,1064,2016-12-18,790.22,2.4077640686126993
14,3997,915,11545,2016-12-17,789.39,2.4077640686126993
15,2839,874,10927,2016-02-28,431.46,4.003355704697986
16,426,168,1233,2016-02-27,431.47,4.003355704697986
17,3735,1210,10409,2016-02-26,429.98,4.003355704697986
18,5037,1572,15723,2018-11-29,4240.53,2.4418320195705356
19,5391,1390,15425,2018-11-28,4223.69,2.4418320195705356
20,5691,1258,14542,2018-02-06,7682.75,1.6230147673446642
21,9541,3195,44090,2018-02-05,6892.67,1.6230147673446642
22,9973,3848,41843,2017-10-11,4813.85,1.8236784938450399
23,1147,465,3775,2017-10-10,4756.22,1.8236784938450399
24,15654,6314,44605,2017-10-09,4751.08,1.8236784938450399
25,1916,824,4000,2017-10-08,4602.5,1.8236784938450399
26,8372,3208,17901,2017-10-07,4425.01,1.8236784938450399
27,8904,3528,18678,2018-08-03,7413.7,2.8741405082212257
28,8574,3211,18369,2018-08-02,7536.0,2.8741405082212257
29,7152,2660,16060,2018-08-01,7602.14,2.8741405082212257
30,4119,2069,8850,2018-07-31,7725.05,2.3688776938147216
31,6138,2959,12412,2017-12-09,15041.0,1.9036575195583971
32,8113,3102,13653,2017-12-08,16250.01,1.9036575195583971
33,8339,3111,15888,2018-06-05,7610.0,2.6644719340250065
34,4757,2624,10620,2018-06-04,7500.0,2.6644719340250065
35,6377,4999,14009,2018-06-03,7709.99,2.6644719340250065
36,6128,3735,13830,2018-06-02,7643.52,2.6644719340250065
37,6666,4481,16807,2018-04-07,6895.99,2.0307422559906487
38,1394,760,3362,2018-04-06,6592.94,2.0307422559906487
39,2342,1293,8401,2018-04-05,6777.0,2.0307422559906487
40,5359,3051,15973,2018-04-04,6794.31,2.0307422559906487
41,2766,1445,6406,2018-04-03,7418.53,2.0307422559906487
42,4571,2252,10678,2019-01-27,3529.63,2.2113574693817686
43,4444,1995,11422,2019-01-26,3558.19,2.2113574693817686
44,3832,1814,9577,2019-01-25,3561.0,2.2113574693817686
45,3819,1623,8965,2019-01-24,3570.25,2.2113574693817686
46,4664,1731,10405,2019-01-23,3553.02,2.2113574693817686
47,4843,2043,11472,2019-01-22,3577.24,2.2113574693817686
48,4832,1940,12229,2019-01-21,3532.25,2.2113574693817686
49,4899,2065,11532,2019-01-20,3533.49,2.2113574693817686
50,4332,1927,10626,2019-01-19,3687.0,2.2113574693817686
51,4314,1864,9546,2019-01-18,3608.0,2.2113574693817686
52,3813,1878,8690,2019-01-17,3641.4,2.2113574693817686
53,292,202,1088,2019-01-16,3607.15,2.2113574693817686
